GVKEY,datadate,fyear,tic,conm,curcd,at,bkvlps,ceq,ceql,che,cogs,csho,dlc,dltt,dvc,ebit,ebitda,epsfx,lt,ni,revt,seq,costat,prcc_f,gross profit,gp/at,asset turnover,gross margin,div /share,div yeild,if pro,if div,
179598,31-Dec-21,2021,CLDX,CELLDEX THERAPEUTICS INC,USD,444.654,8.9766,419.476,419.476,408.25,70.731,46.73,1.746,1.296,0,-69.148,-66.08,-1.64,25.178,-70.511,4.651,419.476,A,38.64,-66.08,-0.14860993,0.010459818,-14.20769727,0,0,FALSE,FALSE,
36556,31-Dec-21,2021,RPTX,REPARE THERAPEUTIC INC,USD,368.715,6.8918,288.421,288.421,341.866,114.789,41.85,1.721,5.592,0,-108.66,-107.189,-2.83,80.294,-106.908,7.6,288.421,A,21.09,-107.189,-0.290709627,0.020612126,-14.10381579,0,0,FALSE,FALSE,
39175,31-Dec-21,2021,ABSI,ABSCI CORP,USD,426.195,3.9516,366.107,366.107,263.082,71.666,92.648,6.687,13.324,0,-73.538,-66.884,-1.12,60.088,-100.96,4.782,366.107,A,8.2,-66.884,-0.156932859,0.011220216,-13.98661648,0,0,FALSE,FALSE,
34746,31-Dec-21,2021,CYCN,CYCLERION THERAPEUTICS,USD,59.331,1.1114,48.246,48.246,53.961,56.906,43.41,0,0,0,-53.436,-52.964,-1.32,11.085,-51.647,3.942,48.246,A,1.72,-52.964,-0.892686791,0.066440815,-13.43581938,0,0,FALSE,FALSE,
323476,31-Dec-21,2021,IVA,INVENTIVA SA,USD,138.737,,101.07,101.07,109.347,68.207,,1.458,10.052,0,-63.437,,-1.44,37.667,-56.451,4.77,101.07,A,13.66,-63.437,-0.457246445,0.0343816,-13.29916143,#DIV/0!,0,FALSE,FALSE,
25289,31-Dec-21,2021,VBIV,VBI VACCINES INC,USD,210.276,0.5571,143.882,143.882,121.694,8.935,258.25,0.839,30.957,0,-68.032,-66.197,-0.27,66.394,-69.753,0.631,143.882,A,2.34,-8.304,-0.039490955,0.003000818,-13.16006339,0,0,FALSE,FALSE,
36464,31-Dec-21,2021,PLRX,PLIANT THERAPEUTICS IN,USD,221.215,5.5167,199.059,199.059,200.596,103.572,36.083,1.869,5.325,0,-97.535,-96,-2.71,22.156,-97.263,7.572,199.059,A,13.5,-96,-0.433966955,0.034229144,-12.67828843,0,0,FALSE,FALSE,
180683,30-Jun-21,2021,IBIO,IBIO INC,USD,146.968,0.4984,108.585,108.585,96.974,32.576,217.873,0.967,31.755,0,-30.956,-30.193,-0.12,38.4,-23.207,2.383,108.585,A,1.51,-30.193,-0.205439279,0.016214414,-12.67016366,0,0,FALSE,FALSE,
37807,31-Dec-21,2021,LGVN,LONGEVERON INC,USD,42.766,1.7939,37.453,37.453,35.043,17.848,20.878,0.537,2.605,0,-17.456,-16.542,-0.89,5.313,-17.045,1.306,37.453,A,12.07,-16.542,-0.3868026,0.030538278,-12.6661562,0,0,FALSE,FALSE,
32459,31-Dec-21,2021,ACER,ACER THERAPEUTICS INC,USD,36.257,-0.1205,-1.724,-1.724,12.711,17.138,14.31,0.185,0.209,0,-15.949,-15.878,-1.08,37.981,-15.374,1.26,-1.724,A,2.28,-15.878,-0.437929227,0.03475191,-12.6015873,0,0,FALSE,FALSE,
36473,31-Dec-21,2021,RNA,AVIDITY BIOSCIENCE INC,USD,427.58,7.9874,381.43,381.43,405.543,126.738,47.754,1.769,9.96,0,-118.051,-117.412,-2.85,46.15,-118.009,9.326,381.43,A,23.77,-117.412,-0.274596567,0.021811123,-12.58974909,0,0,FALSE,FALSE,
185908,31-Dec-21,2021,ACRX,ACELRX PHARMACEUTICALS INC,USD,77.893,-0.2623,-35.893,-35.893,51.63,37.874,136.82,9.864,94.045,0,-36.156,-35.056,-0.29,113.786,-35.099,2.818,-35.893,A,0.5602,-35.056,-0.450053278,0.036177834,-12.44002839,0,0,FALSE,FALSE,
24598,31-Dec-21,2021,BCDA,BIOCARDIA INC,USD,15.718,0.615,10.375,10.375,12.872,13.585,16.871,0.237,1.631,0,-12.63,-12.57,-0.75,5.343,-12.623,1.015,10.375,A,1.94,-12.57,-0.799720066,0.064575646,-12.38423645,0,0,FALSE,FALSE,
36506,31-Dec-21,2021,TMBR,TIMBER PHARMACEUTICALS INC,USD,17.901,0.2085,13.267,13.267,16.809,11.535,63.619,2.388,0.369,0,-10.649,-10.648,-0.27,4.634,-10.639,0.887,13.267,A,0.38,-10.648,-0.594827105,0.049550304,-12.00450958,0,0,FALSE,FALSE,
35121,31-Dec-21,2021,SQL,SEQLL INC,USD,10.74,0.6884,8.182,8.182,9.948,2.673,11.886,1.376,0,0,-2.549,-2.463,-0.32,2.558,-3.704,0.21,8.182,A,1.87,-2.463,-0.229329609,0.019553073,-11.72857143,0,0,FALSE,FALSE,
21627,31-Dec-21,2021,CALA,CALITHERA BIOSCIENCES INC,USD,64.756,0.1826,8.382,14.084,59.537,123.747,77.144,1.374,1.666,0,-114.277,-113.997,-1.56,15.672,-115.088,9.75,49.084,A,0.6652,-113.997,-1.760408302,0.150565199,-11.692,0,0,FALSE,FALSE,
39868,31-Dec-21,2021,VAXX,VAXXINITY INC,USD,166.673,1.0257,128.619,128.619,144.885,0.835,125.392,0.376,10.323,0,-132.274,-131.172,-1.09,38.054,-137.175,0.066,128.619,A,5.61,-0.769,-0.004613825,0.000395985,-11.65151515,0,0,FALSE,FALSE,
318815,31-Dec-21,2021,MTP,MIDATECH PHARMA PLC,USD,17.485,0.6499,12.799,12.799,13.618,9.745,19.694,0.198,0.839,0,-9.508,-8.962,-0.47,3.332,-7.393,0.783,14.153,A,1.05,-8.962,-0.512553617,0.044781241,-11.44572158,0,0,FALSE,FALSE,
271357,31-Dec-21,2021,SMMT,SUMMIT THERAPEUTICS PLC,USD,113.374,0.8495,83.284,83.284,71.791,92.41,98.04,1.091,1.691,0,-86.186,-84.839,-0.96,30.09,-88.602,7.571,83.284,A,2.69,-84.839,-0.7483109,0.066778979,-11.20578523,0,0,FALSE,FALSE,
36863,30-Jun-21,2021,AMST,AMESITE INC,USD,12.477,0.5704,11.735,11.735,10.713,7.898,20.572,0,0,0,-7.974,-7.223,-0.57,0.742,-11.586,0.675,11.735,A,2.75,-7.223,-0.578905186,0.054099543,-10.70074074,0,0,FALSE,FALSE,
35306,31-Dec-21,2021,INBX,INHIBRX INC,USD,150.45,1.3435,52.383,52.383,131.301,82.6,38.991,1.674,75.503,0,-76.564,-75.369,-2.15,98.067,-81.768,7.231,52.383,A,43.67,-75.369,-0.500957129,0.048062479,-10.42303969,0,0,FALSE,FALSE,
37425,31-Dec-21,2021,SEER,SEER INC,USD,539.139,8.1096,502.916,502.916,400.074,75.532,62.015,0.864,22.459,0,-71.473,-68.915,-1.17,36.223,-71.169,6.617,502.916,A,22.81,-68.915,-0.127824179,0.012273273,-10.41484056,0,0,FALSE,FALSE,
27905,31-Dec-21,2021,NOVN,NOVAN INC,USD,68.96,0.9736,18.319,18.319,47.085,32.415,18.816,0,28.613,0,-29.801,-29.457,-1.74,50.641,-29.692,2.958,18.319,A,4.17,-29.457,-0.427160673,0.042894432,-9.95841785,0,0,FALSE,FALSE,
107712,31-Dec-21,2021,UUUU,ENERGY FUELS INC,USD,315.446,1.8659,291.575,291.575,113.011,34.505,156.262,0.324,0.145,0,-35.425,-31.321,0.01,19.92,1.541,3.184,291.575,A,7.63,-31.321,-0.099291162,0.010093645,-9.836997487,0,0,FALSE,FALSE,
186437,31-Dec-21,2021,GEVO,GEVO INC,USD,666.476,2.7093,547.255,547.255,341.205,7.687,201.989,4.343,86.503,0,-54.953,-49.825,-0.3,119.221,-59.203,0.711,547.255,A,4.28,-6.976,-0.010466994,0.001066805,-9.811533052,0,0,FALSE,FALSE,
34194,31-Dec-21,2021,PHAS,PHASEBIO PHARMACEUTIC,USD,60.54,-1.9305,-93.034,-93.034,41.8,116.4,48.191,5.888,2.432,0,-107.362,-105.569,-2.98,153.574,-131.071,10.831,-93.034,A,2.61,-105.569,-1.74378923,0.178906508,-9.746930108,0,0,FALSE,FALSE,
24901,31-Dec-21,2021,LMFA,LM FUNDING AMERICA INC,USD,62.104,4.6675,60.761,60.761,37.231,9.32,13.018,0.183,0,0,-8.432,-8.421,0.6,1.094,4.759,0.899,60.761,A,4.86,-8.421,-0.135595131,0.014475718,-9.367074527,0,0,FALSE,FALSE,
38917,31-Dec-21,2021,MIRO,MIROMATRIX MEDICAL INC,USD,60.929,2.6551,54.126,54.126,53.612,0.332,20.386,0.392,0.439,0,-16.959,-16.791,-0.76,6.803,-14.671,0.033,54.126,A,4.69,-0.299,-0.004907351,0.000541614,-9.060606061,0,0,FALSE,FALSE,
38857,31-Dec-21,2021,JANX,JANUX THERAPEUTICS INC,USD,379.824,8.8822,366.327,366.327,374.965,36.453,41.243,0.194,0,0,-32.929,-32.816,-0.81,13.497,-32.672,3.637,366.327,A,19.73,-32.816,-0.086397911,0.009575488,-9.022821006,0,0,FALSE,FALSE,
106100,31-Dec-21,2021,CYTH,CYCLO THERAPEUTICS INC,USD,19.521,1.8648,15.672,15.672,16.613,15.859,8.404,0.153,0.018,0,-14.29,-14.273,-2.24,3.849,-14.287,1.586,15.672,A,3.73,-14.273,-0.731161313,0.081245838,-8.999369483,0,0,FALSE,FALSE,
170450,31-Aug-21,2021,ORMP,ORAMED PHARMACEUTICALS INC,USD,127.999,3.2802,115.773,115.773,94.14,25.809,35.294,0.13,0.403,0,-23.183,-23.106,-0.78,11.482,-22.238,2.703,115.773,A,19.68,-23.106,-0.180517035,0.021117352,-8.548279689,0,0,FALSE,FALSE,
37392,31-Dec-21,2021,EOSE,EOS ENERGY ENTERPRISES INC,USD,169.175,0.6032,32.447,32.447,105.692,43.881,53.787,7.662,105.885,0,-104.087,-101.474,-2.36,136.728,-124.216,4.598,32.447,A,7.52,-39.283,-0.23220334,0.027178957,-8.543497173,0,0,FALSE,FALSE,
38107,31-Dec-21,2021,AUR,AURORA INNOVATION INC,USD,3690.087,2.9761,3341.702,3341.702,1610.415,782.245,1122.83,12.274,134.551,0,-715.288,-699.707,-1.22,348.385,-755.453,82.538,3341.702,A,11.26,-699.707,-0.189618023,0.022367494,-8.477392231,0,0,FALSE,FALSE,
39358,31-Dec-21,2021,ICVX,ICOSAVAX INC,USD,287.629,7.102,278.22,278.22,280.724,73.581,39.175,0,0,0,-65.861,-65.779,-1.8,9.409,-66.971,7.802,278.22,A,22.88,-65.779,-0.228693908,0.02712522,-8.431043322,0,0,FALSE,FALSE,
39018,31-Dec-21,2021,AMAM,AMBRX BIOPHARMA INC,USD,229.019,4.9228,189.967,189.967,170.906,69.212,38.589,0.915,12.212,0,-63.911,-61.757,-1.81,39.052,-68.079,7.455,189.967,A,9.03,-61.757,-0.269658849,0.032551884,-8.28397049,0,0,FALSE,FALSE,
37182,31-Dec-21,2021,HYLN,HYLIION HOLDINGS CORP,USD,578.44,3.1932,553.915,553.915,377.232,1.853,173.469,0.021,8.623,0,-96.097,-95.213,-0.56,24.525,-96.048,0.2,553.915,A,6.2,-1.653,-0.002857686,0.000345758,-8.265,0,0,FALSE,FALSE,
