"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2021","122.09","121.99","122.26","121.35","24.47M","-0.15%"
"07/01/2021","122.44","121.72","122.59","121.53","18.11M","0.29%"
"07/02/2021","125.26","123.15","125.40","123.06","26.00M","2.30%"
"07/06/2021","126.19","125.65","126.43","124.58","26.40M","0.74%"
"07/07/2021","126.47","127.16","127.28","126.15","24.06M","0.23%"
"07/08/2021","125.04","124.03","125.60","124.02","23.79M","-1.13%"
"07/09/2021","125.52","125.03","125.73","124.55","18.63M","0.38%"
"07/12/2021","126.98","126.18","127.07","125.61","17.67M","1.16%"
"07/13/2021","127.34","127.04","128.06","126.67","19.25M","0.29%"
"07/14/2021","128.24","127.96","129.33","127.91","23.75M","0.70%"
"07/15/2021","127.00","128.65","128.70","126.53","24.22M","-0.96%"
"07/16/2021","126.97","127.66","127.81","126.15","20.42M","-0.03%"
"07/19/2021","124.58","126.09","126.21","123.50","27.97M","-1.88%"
"07/20/2021","126.21","125.53","127.04","124.35","26.32M","1.31%"
"07/21/2021","127.55","126.13","127.60","126.02","20.75M","1.06%"
"07/22/2021","128.42","127.84","128.48","127.50","14.30M","0.68%"
"07/23/2021","133.01","130.43","133.40","129.80","41.51M","3.58%"
"07/26/2021","134.04","133.33","134.24","132.30","30.57M","0.77%"
"07/27/2021","131.90","134.25","134.40","130.10","54.71M","-1.59%"
"07/28/2021","136.09","136.31","138.30","135.28","95.13M","3.18%"
